Phone_Number,State,Account_Length,Area_Code,International_Plan,Voice_Mail_Plan,Number_Vmail_Messages,Total_Day_Minutes,Total_Day_Calls,Total_Day_Charge,Total_Eve_Minutes,Total_Eve_Calls,Total_Eve_Charge,Total_Night_Minutes,Total_Night_Calls,Total_Night_Charge,Total_Intl_Minutes,Total_Intl_Calls,Total_Intl_Charge,Customer_Service_Calls,Churn
382-1227,WI,137,C510,No,No,0,155.5,81,26.44,133.1,94,11.31,253.1,77,11.39,9.1,2,2.46,1,No
409-5749,NH,84,C408,No,Yes,30,106.5,65,18.11,225.7,108,19.18,188.6,61,8.49,5.7,3,1.54,2,No
362-7951,NE,67,C510,No,Yes,31,175.2,68,29.78,199.2,73,16.93,219.8,99,9.89,13.2,6,3.56,1,No
415-3537,WI,161,C408,No,No,0,154.7,84,26.3,177.8,125,15.11,172.9,90,7.78,5.9,2,1.59,4,Yes
373-3959,NJ,134,C510,No,Yes,34,247.2,105,42.02,225.5,133,19.17,186.3,76,8.38,6.1,5,1.65,2,Yes
358-1346,ME,62,C415,Yes,Yes,32,218.4,93,37.13,236.7,132,20.12,192.2,137,8.65,13.2,3,3.56,0,Yes
381-8422,WY,120,C415,No,Yes,24,227.5,81,38.68,234.9,71,19.97,166.4,128,7.49,9,13,2.43,1,No
360-9005,IN,130,C408,No,Yes,30,185,117,31.45,249.5,141,21.21,157.8,103,7.1,7.4,7,2,0,No
344-5967,WI,20,C408,No,No,0,186.8,89,31.76,253.4,51,21.54,273.1,105,12.29,12.3,6,3.32,2,No
396-6390,VT,68,C415,No,No,0,158.8,119,27,211.8,105,18,198.1,101,8.91,10.3,3,2.78,1,No
346-5036,CA,112,C415,No,No,0,208.7,150,35.48,212.8,104,18.09,178.1,98,8.01,8.5,4,2.3,0,No
328-7252,IN,77,C408,No,No,0,185.9,95,31.6,212,98,18.02,282.3,81,12.7,11.3,4,3.05,3,No
360-1745,SC,109,C415,No,No,0,222.5,74,37.83,169.7,75,14.42,264.3,94,11.89,9,3,2.43,2,No
358-2046,IN,108,C415,No,No,0,201.1,101,34.19,170.7,86,14.51,237.4,113,10.68,11.6,3,3.13,3,No
344-6935,IA,79,C415,No,Yes,17,167.9,114,28.54,243.7,93,20.71,211.9,114,9.54,9.1,2,2.46,1,No
401-9665,MD,119,C408,No,No,0,239.1,88,40.65,243.5,79,20.7,230.9,92,10.39,10.9,3,2.94,3,Yes
399-5291,MN,38,C510,No,No,0,175.7,109,29.87,211.8,97,18,137.9,109,6.21,9.2,3,2.48,5,Yes
409-6588,AR,109,C415,No,Yes,29,111.2,90,18.9,263.5,98,22.4,224.7,128,10.11,9,6,2.43,6,Yes
358-5721,MS,78,C415,No,No,0,87.7,74,14.91,214.8,58,18.26,201.3,147,9.06,10.8,6,2.92,1,No
414-7446,MN,134,C415,No,No,0,244.1,99,41.5,246.9,111,20.99,200,133,9,7.2,2,1.94,0,No
329-9517,WA,47,C415,No,Yes,27,165,89,28.05,127.3,118,10.82,284.4,95,12.8,7.7,4,2.08,2,No
415-9553,MS,59,C408,No,Yes,27,127.4,110,21.66,103.3,99,8.78,164.2,73,7.39,9.1,3,2.46,0,No
413-3177,ID,151,C415,No,No,0,194.8,106,33.12,292.7,103,24.88,224.6,82,10.11,5.5,3,1.49,0,No
347-5113,NC,129,C415,No,No,0,54.7,131,9.3,256.1,105,21.77,176.6,135,7.95,11.1,4,3,1,No
330-2662,VA,107,C510,No,Yes,27,283.4,104,48.18,224.1,152,19.05,241.3,63,10.86,14.4,7,3.89,2,No
330-5824,MT,137,C408,Yes,No,0,258,112,43.86,246.5,117,20.95,173.2,100,7.79,10.9,3,2.94,0,Yes
411-1261,MI,76,C510,No,No,0,90.5,142,15.39,211.7,75,17.99,194.9,76,8.77,9.3,2,2.51,1,No
329-8788,HI,24,C415,No,No,0,235.6,132,40.05,115.9,129,9.85,185.4,136,8.34,16.2,2,4.37,0,No
333-7869,NC,169,C408,No,No,0,142.5,82,24.23,231.4,110,19.67,131.2,67,5.9,10,4,2.7,2,No
399-4800,MN,30,C408,No,No,0,54,68,9.18,179.3,96,15.24,247.2,101,11.12,10.2,8,2.75,1,No
402-2072,WV,70,C415,No,No,0,214.8,87,36.52,131,114,11.14,216.9,104,9.76,9.4,3,2.54,3,No
403-6187,SD,52,C510,Yes,No,0,251.4,118,42.74,196.6,80,16.71,192,53,8.64,11,2,2.97,0,Yes
355-2872,HI,3,C408,No,No,0,139,99,23.63,250.7,108,21.31,286.2,87,12.88,6.1,3,1.65,4,No
386-2970,MS,38,C415,No,No,0,117.3,114,19.94,208.7,105,17.74,203.4,98,9.15,14.4,2,3.89,2,No
389-6081,NY,104,C415,No,No,0,264,108,44.88,132.2,75,11.24,177.7,91,8,10.6,8,2.86,3,No
348-7556,LA,27,C408,No,No,0,82.6,105,14.04,204,99,17.34,224.2,122,10.09,9.1,4,2.46,1,No
334-9163,KS,166,C415,Yes,Yes,28,175.8,126,29.89,253.6,76,21.56,128.5,72,5.78,11.4,5,3.08,1,No
411-4293,MA,13,C408,No,No,0,220.4,100,37.47,211.2,79,17.95,259.3,112,11.67,13.6,8,3.67,2,No
375-5562,AK,52,C408,No,No,0,217,104,36.89,152.3,83,12.95,134.3,109,6.04,11.8,4,3.19,2,No
386-3823,SD,114,C415,No,Yes,25,129,77,21.93,290,110,24.65,177.1,110,7.97,11.6,5,3.13,1,No
364-6445,CO,156,C408,No,No,0,150.5,106,25.59,152.9,112,13,215.9,86,9.72,3.5,3,0.95,1,No
383-2251,NH,90,C415,No,Yes,42,193.3,66,32.86,263.3,85,22.38,214.4,97,9.65,11.1,4,3,0,No
351-3169,WV,62,C415,No,No,0,189.5,122,32.22,103.8,95,8.82,180.6,106,8.13,10.8,5,2.92,2,No
413-6380,AZ,82,C415,No,Yes,33,137.8,95,23.43,235.5,128,20.02,268.1,70,12.06,11,6,2.97,2,No
380-9674,ME,52,C510,No,No,0,129.3,80,21.98,142.7,101,12.13,258.3,89,11.62,12.3,4,3.32,3,No
345-2319,NH,146,C510,No,No,0,115.6,77,19.65,213.6,100,18.16,218.4,72,9.83,10.7,6,2.89,1,No
377-5441,RI,120,C415,No,Yes,23,221.9,114,37.72,254.7,84,21.65,250.5,117,11.27,7.2,5,1.94,2,No
358-3692,ID,130,C415,No,No,0,263.7,113,44.83,186.5,103,15.85,195.3,99,8.79,18.3,6,4.94,1,Yes
400-5831,WI,90,C408,No,No,0,61.3,91,10.42,194.4,94,16.52,143.1,80,6.44,11.4,9,3.08,1,No
357-5995,NM,147,C408,Yes,No,0,183.8,113,31.25,164.7,110,14,111,87,5,10.1,4,2.73,1,No
391-2159,WY,159,C415,No,No,0,167.4,68,28.46,143.8,74,12.22,140.1,111,6.3,10.3,3,2.78,0,Yes
398-5954,IL,74,C510,No,Yes,27,154.1,122,26.2,195.3,150,16.6,276.7,86,12.45,13.2,2,3.56,4,No
385-6175,TX,130,C408,No,No,0,252,101,42.84,170.2,105,14.47,209.2,64,9.41,5.7,5,1.54,0,No
334-2961,RI,155,C408,Yes,No,0,163.1,94,27.73,291.7,108,24.79,96.4,111,4.34,11.2,3,3.02,0,No
405-4303,MI,87,C415,No,No,0,198.3,80,33.71,187,89,15.9,133.5,96,6.01,16.6,4,4.48,2,No
406-4100,OR,81,C415,No,No,0,324.7,48,55.2,236.4,82,20.09,187.6,78,8.44,13.1,5,3.54,0,Yes
352-4401,VA,99,C510,No,No,0,128.3,78,21.81,215.3,120,18.3,143.7,140,6.47,14.3,9,3.86,2,No
347-1473,SD,131,C510,No,No,0,187.9,110,31.94,200.5,101,17.04,202.6,125,9.12,10.2,11,2.75,2,No
347-2016,AL,89,C510,No,No,0,129.2,71,21.96,214.1,68,18.2,214.9,100,9.67,10.3,4,2.78,5,Yes
388-8948,MS,123,C415,Yes,No,0,125.5,106,21.34,128.9,96,10.96,251.9,129,11.34,6.3,6,1.7,4,Yes
402-5509,MS,130,C510,No,Yes,26,257.2,108,43.72,224.3,122,19.07,204,118,9.18,12.6,4,3.4,1,No
367-2598,HI,99,C415,No,No,0,124.6,90,21.18,146.4,70,12.44,169.4,95,7.62,10.5,6,2.84,1,No
370-5001,WV,36,C408,No,No,0,175.1,144,29.77,216.9,69,18.44,243.7,146,10.97,9.9,3,2.67,1,No
332-3693,WV,87,C415,No,No,0,124.3,91,21.13,173.4,105,14.74,256.3,109,11.53,7.5,5,2.03,3,No
403-9766,WV,139,C415,No,No,0,271.6,130,46.17,156,131,13.26,136.3,108,6.13,11.6,9,3.13,2,No
363-2407,IN,189,C510,No,No,0,219.9,80,37.38,143.3,117,12.18,130.6,69,5.88,11.7,7,3.16,1,No
395-9214,NM,96,C415,No,Yes,33,183.3,115,31.16,201.4,87,17.12,177.4,84,7.98,10.4,15,2.81,3,No
351-8894,DE,112,C408,No,No,0,101.1,119,17.19,214.4,67,18.22,179.5,112,8.08,10.3,5,2.78,2,No
406-5003,NC,75,C408,No,No,0,203.3,70,34.56,228.9,97,19.46,222.2,118,10,14.3,3,3.86,1,No
398-1332,NM,178,C415,No,Yes,35,175.4,88,29.82,190,65,16.15,138.7,94,6.24,10.5,3,2.84,2,No
363-8033,SC,112,C415,No,No,0,266,97,45.22,214.6,94,18.24,306.2,100,13.78,14.2,2,3.83,2,Yes
333-1012,NJ,108,C415,No,Yes,41,171.6,110,29.17,136.1,78,11.57,183.4,103,8.25,10.8,7,2.92,0,No
391-6260,AZ,100,C510,No,No,0,78.7,98,13.38,225.6,102,19.18,150.4,106,6.77,14,8,3.78,0,No
336-1353,RI,121,C510,No,Yes,20,211.9,110,36.02,215.1,120,18.28,238.5,107,10.73,9.4,2,2.54,0,No
365-5629,SD,116,C415,No,No,0,63.7,101,10.83,195.8,95,16.64,210.1,87,9.45,10,6,2.7,1,No
349-4397,NH,161,C415,No,No,0,173.4,100,29.48,213.7,74,18.16,141.5,69,6.37,11.5,4,3.11,1,No
380-3910,AL,19,C415,Yes,No,0,237.7,98,40.41,207.1,121,17.6,182.2,95,8.2,4.5,4,1.22,0,No
354-7820,WV,104,C415,No,No,0,225.9,123,38.4,162.8,106,13.84,272.1,85,12.24,10.1,4,2.73,1,No
338-9952,ID,119,C415,Yes,Yes,32,173,101,29.41,209.4,93,17.8,231.1,91,10.4,12.2,4,3.29,0,No
405-1821,MD,125,C415,No,No,0,224.9,102,38.23,143.8,87,12.22,198.9,105,8.95,8,2,2.16,0,No
329-8669,IN,156,C510,No,No,0,237.7,122,40.41,181.5,91,15.43,185.7,151,8.36,7.7,4,2.08,1,No
328-8808,WY,109,C415,No,No,0,137,128,23.29,217,116,18.45,182.1,86,8.19,10,5,2.7,2,No
409-3018,NH,95,C510,No,No,0,142.5,109,24.23,176.1,107,14.97,189.6,88,8.53,8.2,3,2.21,2,No
421-5994,MN,90,C408,No,No,0,142.4,126,24.21,126.2,118,10.73,274.2,71,12.34,4.6,4,1.24,1,No
354-4448,MA,105,C415,No,Yes,21,147,112,24.99,197.3,43,16.77,267.4,93,12.03,8.7,3,2.35,2,No
352-5081,NH,101,C510,No,No,0,220.3,124,37.45,188.6,101,16.03,278.4,98,12.53,10.6,4,2.86,1,No
401-7803,MN,95,C415,No,No,0,149.2,96,25.36,260.7,116,22.16,201,120,9.05,8.1,2,2.19,1,No
420-6052,IA,123,C415,No,No,0,204.4,88,34.75,137.5,111,11.69,226,100,10.17,10,4,2.7,0,No
352-6084,NY,160,C408,No,No,0,216.8,77,36.86,207.3,117,17.62,228.6,117,10.29,5.6,2,1.51,1,No
388-8583,AL,141,C510,No,Yes,28,308,123,52.36,247.8,128,21.06,152.9,103,6.88,7.4,3,2,1,No
415-3158,WV,87,C415,No,No,0,58,125,9.86,67.5,116,5.74,185.9,136,8.37,11.5,3,3.11,0,No
402-9304,NM,81,C415,No,No,0,173.2,80,29.44,236.2,94,20.08,240.2,84,10.81,11.8,6,3.19,2,No
341-1916,CA,75,C415,No,Yes,19,210.3,90,35.75,241.8,87,20.55,215.7,102,9.71,13.1,3,3.54,4,No
381-2745,MA,126,C408,No,Yes,24,58.9,125,10.01,305.5,90,25.97,158.9,73,7.15,12.1,6,3.27,0,No
402-5014,ME,28,C415,No,No,0,236.8,102,40.26,167.1,87,14.2,280.2,115,12.61,9.7,3,2.62,3,No
399-8846,FL,153,C415,No,No,0,228.9,102,38.91,160.7,136,13.66,203.1,109,9.14,12.5,2,3.38,0,No
328-9267,NH,97,C408,No,Yes,32,90,87,15.3,276.3,113,23.49,185.2,107,8.33,8.6,6,2.32,2,Yes
348-7224,IN,115,C408,No,No,0,146.7,128,24.94,106.2,74,9.03,197.7,104,8.9,11.1,4,3,2,No
336-2190,WI,95,C408,No,No,0,237.3,83,40.34,154,65,13.09,237,105,10.67,11.2,6,3.02,1,No
376-4705,MA,17,C415,Yes,No,0,162.8,118,27.68,229.6,91,19.52,332.7,94,14.97,13.6,3,3.67,0,Yes
381-4076,NH,105,C415,No,Yes,20,186.9,114,31.77,256.3,91,21.79,334.7,104,15.06,8.9,2,2.4,1,No
348-8464,TX,121,C415,No,No,0,86.1,100,14.64,259.8,113,22.08,148,79,6.66,9.1,9,2.46,2,No
412-7020,NC,125,C408,No,No,0,212.3,89,36.09,215.4,127,18.31,186.8,73,8.41,11.3,2,3.05,2,No
386-8432,CT,124,C415,No,No,0,151,98,25.67,120.6,119,10.25,152.8,81,6.88,9.2,2,2.48,2,No
337-1802,NJ,35,C408,No,No,0,158.6,67,26.96,130.4,96,11.08,229.8,80,10.34,6.9,5,1.86,2,No
366-1084,WY,134,C510,No,No,0,296,93,50.32,226.4,117,19.24,246.8,98,11.11,12.3,10,3.32,0,Yes
352-4182,LA,123,C510,No,Yes,32,212.3,77,36.09,251.5,78,21.38,208.7,85,9.39,6.6,2,1.78,3,No
368-5628,NV,124,C415,No,No,0,234.4,61,39.85,179.3,111,15.24,285.5,117,12.85,10.4,6,2.81,3,No
333-8996,WV,133,C510,No,No,0,176.8,92,30.06,187.5,97,15.94,196.8,88,8.86,6.5,3,1.76,2,No
353-2557,AR,185,C415,No,Yes,19,157.3,123,26.74,257.7,94,21.9,190.4,107,8.57,9.6,6,2.59,0,No
356-8621,SC,1,C415,No,Yes,26,146.6,68,24.92,172.8,67,14.69,173.8,113,7.82,10,2,2.7,1,No
354-6942,KS,107,C415,No,No,0,260.5,108,44.29,102.4,110,8.7,129.7,148,5.84,9.8,5,2.65,1,No
377-9829,NY,91,C415,No,Yes,20,146.1,98,24.84,277.4,104,23.58,137.7,100,6.2,6.2,3,1.67,1,No
348-4660,MI,178,C408,Yes,No,0,124.5,134,21.17,141.2,78,12,268.2,113,12.07,11.4,2,3.08,2,Yes
410-5199,MA,123,C415,No,No,0,209.4,49,35.6,237.4,117,20.18,239.2,98,10.76,9.8,11,2.65,1,No
397-6542,UT,170,C415,No,No,0,285.7,44,48.57,167.5,144,14.24,260,97,11.7,8.7,4,2.35,1,Yes
333-4492,HI,135,C415,No,No,0,190.9,44,32.45,161.4,109,13.72,231.9,100,10.44,8.4,2,2.27,1,No
405-9573,PA,85,C408,No,No,0,144.4,88,24.55,264.6,105,22.49,185.4,94,8.34,9.9,3,2.67,1,No
359-7255,OR,134,C415,No,Yes,50,208.8,130,35.5,132.9,104,11.3,136.7,107,6.15,11.1,4,3,2,No
419-5501,TN,148,C415,No,Yes,36,77.6,141,13.19,207,60,17.6,255.7,115,11.51,10.9,2,2.94,1,No
404-4809,CT,93,C415,No,No,0,271.1,101,46.09,237.4,133,20.18,145.4,103,6.54,8.4,6,2.27,1,Yes
344-6334,AZ,138,C415,No,No,0,240.8,104,40.94,144.5,92,12.28,125.7,98,5.66,11.6,1,3.13,0,No
400-1899,OR,159,C510,No,No,0,114.8,98,19.52,192.6,101,16.37,259,108,11.66,12.2,5,3.29,0,No
346-5053,DE,103,C415,No,Yes,34,138.8,80,23.6,142,108,12.07,183.8,77,8.27,11.8,7,3.19,1,No
398-2148,MA,150,C408,No,Yes,27,209.8,112,35.67,155,80,13.18,251.5,111,11.32,7.2,6,1.94,0,No
347-7675,CT,37,C408,No,No,0,134.9,98,22.93,248.4,130,21.11,236.2,113,10.63,14.7,2,3.97,3,No
411-8956,AR,33,C415,Yes,No,0,164,99,27.88,153.1,102,13.01,123.8,104,5.57,6.4,4,1.73,0,No
390-3761,SD,55,C415,No,No,0,245.5,130,41.74,192.7,54,16.38,141.7,83,6.38,9.1,4,2.46,1,No
377-3876,CT,134,C408,No,Yes,32,80.3,94,13.65,199.9,124,16.99,170.8,117,7.69,16.6,3,4.48,0,No
345-2476,CT,107,C408,No,No,0,90.7,90,15.42,207.5,109,17.64,169.4,96,7.62,5.6,5,1.51,2,No
337-7879,MA,80,C408,No,Yes,36,190.3,115,32.35,256.6,78,21.81,214.9,145,9.67,3.8,4,1.03,1,No
361-7283,MS,78,C408,No,No,0,108.6,108,18.46,209.9,126,17.84,222.6,117,10.02,7.9,5,2.13,1,Yes
372-4868,MT,85,C408,No,Yes,17,89.8,88,15.27,233.2,75,19.82,165.7,116,7.46,9.3,7,2.51,4,Yes
346-8863,AK,61,C415,No,Yes,15,252.4,106,42.91,187.8,69,15.96,259.6,137,11.68,10,3,2.7,2,No
390-5267,DE,97,C415,No,Yes,32,183.4,94,31.18,269.1,120,22.87,203.5,38,9.16,6.7,4,1.81,5,No
392-1547,OH,136,C408,Yes,No,0,183.4,103,31.18,141.9,113,12.06,200.4,122,9.02,10.4,9,2.81,2,No
340-8177,MN,135,C408,No,No,0,155.2,100,26.38,135.9,84,11.55,184.6,82,8.31,3.8,9,1.03,3,No
383-4802,CA,87,C415,No,Yes,19,165.8,122,28.19,186.9,89,15.89,249.7,78,11.24,0,0,0,1,No
378-8567,OH,165,C510,No,No,0,209.4,67,35.6,273.8,89,23.27,150.2,88,6.76,12.8,1,3.46,0,No
406-7844,NV,148,C415,No,No,0,279.3,104,47.48,201.6,87,17.14,280.8,99,12.64,7.9,2,2.13,2,Yes
402-9173,SC,99,C415,No,No,0,174.1,102,29.6,99.1,118,8.42,211.6,126,9.52,7.7,2,2.08,2,No
352-3440,WV,123,C415,No,No,0,175.7,78,29.87,184.6,96,15.69,156.9,92,7.06,9.1,2,2.46,2,No
363-1413,NM,127,C415,Yes,No,0,256.5,87,43.61,222.1,101,18.88,156.7,122,7.05,13,3,3.51,1,No
394-8861,WY,151,C415,No,No,0,170.2,89,28.93,187.5,83,15.94,119.5,100,5.38,4.3,3,1.16,0,No
358-4036,CA,185,C408,No,No,0,139.6,92,23.73,250.2,115,21.27,158.1,79,7.11,10.8,4,2.92,1,No
392-4680,KS,65,C415,No,Yes,34,208.8,119,35.5,142.1,106,12.08,214.6,87,9.66,12.5,4,3.38,4,No
354-2762,WY,58,C510,No,No,0,210.1,126,35.72,248.9,108,21.16,158.6,88,7.14,14.4,2,3.89,4,No
371-5811,OK,104,C415,No,No,0,113.6,87,19.31,158.6,98,13.48,187.7,87,8.45,10.5,6,2.84,2,No
387-2014,UT,44,C415,No,No,0,202.6,89,34.44,163,96,13.86,268.1,151,12.06,8.3,3,2.24,0,No
411-6598,MA,58,C408,No,No,0,174.4,112,29.65,265.8,122,22.59,182.4,87,8.21,0,0,0,4,No
355-9356,UT,108,C415,No,No,0,210.6,117,35.8,164.2,103,13.96,201.4,68,9.06,9.4,5,2.54,0,No
406-4720,MN,132,C510,No,No,0,121.5,88,20.66,253,124,21.51,195.7,120,8.81,10.7,4,2.89,1,No
356-7239,NE,80,C415,No,No,0,127.8,67,21.73,181.6,112,15.44,197.3,63,8.88,15.9,2,4.29,2,No
328-8747,OH,162,C415,No,No,0,135.2,98,22.98,242,107,20.57,246.9,96,11.11,10.2,2,2.75,2,No
388-9464,KY,110,C510,No,No,0,99.4,62,16.9,275,86,23.38,212.1,94,9.54,16.7,3,4.51,2,No
406-2866,WA,96,C415,No,No,0,276.9,105,47.07,246.9,94,20.99,254.4,107,11.45,10.3,3,2.78,1,Yes
333-5729,NY,168,C408,No,No,0,163.4,134,27.78,240.1,87,20.41,164,147,7.38,11.6,2,3.13,2,Yes
391-1499,IN,72,C510,No,No,0,287.4,116,48.86,235.3,126,20,292.1,114,13.14,5,3,1.35,4,Yes
386-8690,CO,125,C408,No,Yes,23,120.5,104,20.49,227.8,115,19.36,158.5,100,7.13,10.2,3,2.75,1,No
391-2231,DC,170,C510,No,No,0,184.1,106,31.3,204.9,70,17.42,224.3,133,10.09,9.8,3,2.65,2,No
332-2275,AK,71,C510,No,No,0,185,84,31.45,232.5,129,19.76,191.1,82,8.6,14.9,4,4.02,3,No
340-4028,SC,124,C415,No,No,0,160.9,109,27.35,144.2,152,12.26,120.4,97,5.42,12.9,12,3.48,1,No
363-3486,KS,68,C415,No,No,0,207.6,68,35.29,251.6,123,21.39,191.6,100,8.62,10.9,6,2.94,2,No
418-3181,UT,97,C415,No,No,0,209.2,134,35.56,0,0,0,175.4,94,7.89,11.8,6,3.19,1,No
351-3316,IL,98,C510,Yes,No,0,158.4,71,26.93,306.6,66,26.06,144.2,93,6.49,2.1,4,0.57,1,No
369-3626,DC,24,C408,No,No,0,149,73,25.33,131,81,11.14,238.6,69,10.74,8.6,3,2.32,2,Yes
353-2763,DC,136,C510,No,No,0,204.5,63,34.77,208.8,95,17.75,224,119,10.08,9.8,2,2.65,0,No
358-7165,OK,44,C408,No,No,0,288.8,86,49.1,175.9,87,14.95,215.4,106,9.69,9.5,2,2.57,0,Yes
353-3223,KY,96,C415,No,Yes,40,108.6,90,18.46,206.4,154,17.54,126.3,118,5.68,13.4,4,3.62,0,No
338-9044,NE,31,C415,No,No,0,97.5,129,16.58,260.4,78,22.13,88.7,100,3.99,7,5,1.89,1,No
341-7296,AL,72,C415,No,No,0,166.5,102,28.31,261,103,22.19,262.7,85,11.82,13.3,5,3.59,0,No
398-4431,HI,24,C415,No,No,0,156.2,104,26.55,90,101,7.65,205.1,116,9.23,7.3,5,1.97,1,No
408-5601,SC,112,C415,No,Yes,31,225.2,89,38.28,256.8,117,21.83,249.7,87,11.24,11.5,1,3.11,4,No
328-5188,GA,117,C415,Yes,No,0,287.4,118,48.86,259.6,84,22.07,153.2,86,6.89,10,3,2.7,1,Yes
329-4474,KS,137,C415,No,Yes,19,175.3,96,29.8,241.3,146,20.51,211.4,109,9.51,7.8,2,2.11,0,No
357-4573,PA,136,C408,No,No,0,102.1,75,17.36,219.5,97,18.66,73.7,92,3.32,9.8,5,2.65,0,No
341-7112,UT,95,C415,No,No,0,157.9,103,26.84,259.6,90,22.07,230,117,10.35,14,2,3.78,0,No
400-3147,OR,82,C415,No,Yes,19,146.5,73,24.91,246.4,65,20.94,199,114,8.96,4.1,4,1.11,1,No
378-1936,ND,145,C415,No,No,0,245.8,116,41.79,286.7,91,24.37,240.7,115,10.83,9,13,2.43,1,Yes
347-1640,KY,56,C415,Yes,No,0,177.7,114,30.21,215.6,110,18.33,236.7,67,10.65,10.5,5,2.84,1,No
374-9531,MN,155,C408,Yes,No,0,250.8,146,42.64,152.5,105,12.96,148.1,104,6.66,10,5,2.7,2,No
380-4374,OH,133,C408,No,No,0,117.8,100,20.03,199.2,105,16.93,244.1,119,10.98,11.8,4,3.19,0,Yes
380-9409,TX,53,C415,No,No,0,119.7,113,20.35,189.7,84,16.12,256.2,108,11.53,12.9,7,3.48,2,No
387-1116,WY,123,C415,No,No,0,242.2,87,41.17,226.1,101,19.22,268.6,121,12.09,8.2,3,2.21,5,Yes
400-7509,GA,136,C415,No,No,0,163.4,83,27.78,249.3,119,21.19,249.7,90,11.24,9.8,4,2.65,7,No
403-6225,TX,57,C415,No,No,0,161,113,27.37,208,134,17.68,208.1,81,9.36,8.4,4,2.27,3,No
382-8274,WV,62,C408,No,No,0,128.7,111,21.88,169.5,104,14.41,193.6,97,8.71,10.3,5,2.78,1,No
354-5764,NM,112,C415,No,No,0,81.6,94,13.87,268.1,112,22.79,140.8,75,6.34,8.6,18,2.32,1,No
387-6912,MI,55,C415,No,Yes,20,207.7,91,35.31,199.7,113,16.97,216.5,110,9.74,7.3,1,1.97,1,No
384-3413,NC,95,C408,No,No,0,128.6,115,21.86,216.2,88,18.38,255.3,96,11.49,6.3,2,1.7,6,Yes
367-3950,NY,125,C415,No,No,0,233.3,65,39.66,209.8,93,17.83,210.6,109,9.48,9.1,4,2.46,1,No
396-4254,TX,1,C415,No,No,0,182.1,106,30.96,134.9,106,11.47,152.3,75,6.85,10,3,2.7,5,Yes
333-3010,KY,98,C415,No,Yes,36,168,81,28.56,163.2,125,13.87,172.7,120,7.77,8,2,2.16,6,Yes
393-1891,SD,105,C415,No,No,0,251.6,88,42.77,175.1,103,14.88,184.4,112,8.3,5.4,5,1.46,1,No
336-9053,ID,113,C415,No,Yes,30,183.8,102,31.25,183.4,123,15.59,235,52,10.58,11.6,7,3.13,0,No
353-3372,OR,99,C408,No,No,0,256.4,44,43.59,214.5,105,18.23,233.7,75,10.52,7.9,1,2.13,3,Yes
386-8943,WI,103,C415,No,No,0,180.2,134,30.63,97.7,85,8.3,181.7,134,8.18,8.4,3,2.27,1,No
376-9716,WV,177,C408,No,No,0,227.8,81,38.73,161.8,97,13.75,217,106,9.76,8,5,2.16,1,No
370-8676,SC,149,C415,No,Yes,20,147.8,132,25.13,276.8,94,23.53,149.9,110,6.75,10.2,6,2.75,0,No
360-2329,CT,160,C415,No,No,0,234.9,136,39.93,270.8,134,23.02,219.3,101,9.87,13.9,2,3.75,1,Yes
360-1320,NV,116,C408,No,No,0,110.9,54,18.85,213.4,82,18.14,186.2,116,8.38,7.9,2,2.13,2,No
329-8638,ND,90,C415,No,Yes,22,124.5,94,21.17,231.7,90,19.69,222.2,108,10,6.4,12,1.73,1,No
385-1118,MI,148,C415,Yes,No,0,233.5,81,39.7,187.7,71,15.95,122.3,97,5.5,9.6,2,2.59,0,Yes
408-8269,MT,147,C415,No,Yes,35,197.3,134,33.54,141.1,99,11.99,212.1,90,9.54,10.1,4,2.73,2,Yes
391-2334,NE,95,C510,No,No,0,58.2,96,9.89,202.1,126,17.18,210.5,97,9.47,10.4,5,2.81,0,No
373-8900,UT,201,C510,No,No,0,212.7,72,36.16,225.2,90,19.14,195.1,99,8.78,7,6,1.89,1,No
382-3512,WV,80,C415,No,No,0,151.5,89,25.76,131.7,78,11.19,235.3,131,10.59,11.8,4,3.19,0,No
420-4089,AR,122,C415,Yes,No,0,146.3,117,24.87,218.7,93,18.59,236,97,10.62,11.5,5,3.11,1,No
406-8465,MT,132,C408,No,No,0,195.1,100,33.17,148.8,95,12.65,224.5,117,10.1,6.7,2,1.81,0,No
386-6114,UT,83,C510,No,No,0,208.9,71,35.51,214.8,92,18.26,247.9,108,11.16,13,5,3.51,1,No
413-9328,HI,99,C408,No,No,0,135.7,107,23.07,208.4,103,17.71,209,95,9.4,8.8,3,2.38,7,Yes
335-7144,KS,84,C415,No,No,0,225.9,86,38.4,275.6,105,23.43,201.4,108,9.06,14.3,3,3.86,3,Yes
414-5177,NY,46,C415,No,No,0,122.2,67,20.77,167.2,62,14.21,194.8,98,8.77,9.7,6,2.62,1,No
350-5993,OH,87,C510,No,No,0,153.3,106,26.06,224.5,117,19.08,273.4,152,12.3,8.9,5,2.4,2,No
370-1465,HI,150,C415,No,No,0,214,117,36.38,192.4,89,16.35,242.6,99,10.92,7.9,4,2.13,1,No
385-2370,KS,73,C408,No,No,0,194.8,112,33.12,167.2,85,14.21,100.3,61,4.51,10.8,6,2.92,1,No
358-9146,IN,7,C415,No,No,0,206.7,87,35.14,281.1,83,23.89,158.5,77,7.13,11,5,2.97,3,No
357-8515,OR,89,C415,No,Yes,12,188,105,31.96,151.3,107,12.86,201.9,132,9.09,10.5,3,2.84,2,No
